,,,,P N   t r i p l e t s,,
,3;SG,xyaqC,nxyaqC,nxyaqC,xyaqC,
,1;PL;INCL,xyanqCanE,nxyanqCanE,nxyaqCanE,xyanqCanE,
,1;PL;EXCL,xyaqC waG,nxyaqC waG,nxyaqC waG,xyaqC waG,
,2;PL,xyaqC wanE,nxyaqC wanE,nxyaqC wanE,xyaqC wanE,
,3;PL,xyaq renqE,nxyaqC renqE,nxyaqC renqE,xyaqC renqE,
,,,,,,
[3],jen2,passed,iv,m-h-ls,m-h-ls,hl-ms-ls
,,CPL,PROG,HAB,POT,
,1;SG,jenL,ntjenL,ntyjinL,tyjinL,
,2;SG,jenE,ntjenE,ntyjinH,tyjinH,
,3;SG,jenC,ntjenC,ntyjinB,tyjinB,
,1;PL;INCL,jenCenE,ntjenCenE,ntyjinB,tyjinB,
,1;PL;EXCL,jenC waG,ntjenC waG,ntyjinBS waG,tyjinBS waG,
,2;PL,jenC wanE,ntjenC wanE,ntyjinB wanS,tyjinB wanS,
,3;PL,jenC renqE,ntjenC renqE,ntyjinB renqS,tyjinB renqS,
,,,,,,
[3],jnyiq2,borrowed,tv,m-h-ls,m-h-ls,hl-ms-ls
,,CPL,PROG,HAB,POT,
,1;SG,jnyinqL,jnyinqL,jnyinqL,jnyinqL,
,2;SG,jnyiqE,jnyiqE,jnyiqH,jnyiqH,
,3;SG,jnyiqC,jnyiqC,jnyiqB,jnyiqB,
,1;PL;INCL,jnyinqCinE,jnyinqCinE,jnyinqB,jnyinqB,
,1;PL;EXCL,jnyiqC waG,jnyiqC waG,jnyiqBS waG,jnyiqBS waG,
,2;PL,jnyiqC wanE,jnyiqC wanE,jnyiqB wanS,jnyiqB wanS,
,3;PL,jnyiqC renqE,jnyiqC renqE,jnyiqB renqS,jnyiqB renqS,
,,,,,,
[3],ngon2,shot,tv,m-h-ls,m-h-ls,hl-ms-ls
,,CPL,PROG,HAB,POT,
,1;SG,ngonL,ndgonL,ndgonL,konL,
,2;SG,ngonE,ndgonE,ndgonH,konH,
,3;SG,ngonC,ndgonC,ndgonB,konB,
,1;PL;INCL,ngonConE,ndgonC,ndgonB,konB,
,1;PL;EXCL,ngonC waG,ndgonC waG,ndgonBS waG,konBS waG,
,2;PL,ngonC wanE,ndgonC wanE,ndgonB wanS,konB wanE,
,3;PL,ngonC renqE,ndgonC renqE,ndgonB renqS,konB renqE,
,,,,,,
[3],saq2,tore up,tv,m-h-ls,m-h-ls,hl-ms-ls
,,CPL,PROG,HAB,POT,
,1;SG,sanqL,nsanqL,nsanqL,sanqL,
,2;SG,saqE,nsaqE,nsaqH,saqH,
,3;SG,saqC,nsaqC,nsaqB,saqB,
,1;PL;INCL,sanqCanE,nsanqCanE,nsanqB,tykwanB,
,1;PL;EXCL,saqC waG,nsaqC waG,nsaqBS waG,tykwanBS waG,
,2;PL,saqC wanE,nsaqC wanE,nsaqB wanS,tykwanB wanS,
,3;PL,saqC renqE,nsaqC renqE,nsaqB renqS,tykwanB renqS,
,,,,,,
[3],sqi2,bought,tv,m-h-ls,m-h-ls,hl-ms-ls
,,CPL,PROG,HAB,POT,
,1;SG,sqenL,ntsqenL,nchsqinL,xqinL,
,2;SG,sqiE,ntsqiE,nchsqiH,xqiH,
,3;SG,sqiC,ntsqiC,nchsqiB,xqiB,
,1;PL;INCL,sqenCenE,ntsqenCenE,nchsqinB,xqinB,
,1;PL;EXCL,sqiC waG,ntsqiC waG,nchsqiBS waG,xqiBS waG,
,2;PL,sqiC wanE,ntsqiC wanE,nchsqiBS wanE,xqiBS wanE,
,3;PL,sqiC renqE,ntsqiC renqE,nchsqiBS renqE,xqiBS renqE,
,,,,,,
[3],xta1,choked,tv,m-h-ls,m-h-ls,hl-ms-ls
,,CPL,PROG,HAB,POT,
,1;SG,xtanL,nxstan3C,nxstanL,xtanL,
,2;SG,xtanG,nxstanG,nxstanH,xtanH,
,3;SG,xtaE,nxstanE,nxstanB,xtanB,
,1;PL;INCL,stanCanE,nstanCanE,nstanB,stanB,
,1;PL;EXCL,stanC waG,nstanC waG,nstanBS waG,stanBS waG,
,2;PL,stanC wanE,nstanC wanE,nstanB wan0,stanB wan0,
,3;PL,stanC renqE,nstanC renqE,nstanB renq0,stanB renq0,
,,,,,,
[3],ykwen2,vomited,iv,m-h-ls,m-h-ls,hl-ms-ls
,,CPL,PROG,HAB,POT,
,1;SG,ykwenL,ntykwenL,ntykwenL,kwenL,
,2;SG,ykwenE,ntykwenE,ntykwenH,kwenH,
,3;SG,ykwenC,ntykwenC,ntykwenB,kwenB,
,1;PL;INCL,ykwenCenE,ntykwenCenE,ntykwenB,kwenB,
,1;PL;EXCL,ykwenC waG,ntykwenC waG,ntykwenBS waG,kwenBS waG,
,2;PL,ykwenC wanE,ntykwenC wanE,ntykwenB wanS,kwenB wanS,
,3;PL,ykwenC renqE,ntykwenC renqE,ntykwenB renqS,kwenB renqS,
,,,,,,
[3],yqu2,grew or survived,iv,m-h-ls,m-h-ls,hl-ms-ls
,,CPL,PROG,HAB,POT,
,1;SG,yqonL,ntqonL,ntyqonL,kqonL,
,2;SG,yquE,ntquE,ntyquH,kquH,
,3;SG,yquC,ntquC,ntyquB,kquB,
,1;PL;INCL,yqonConE,ntqonConE,ntyqonConE,kqonConE,
,1;PL;EXCL,yquC waG,ntquC waG,ntyquC waG,kquC waG,
,2;PL,yquC wanE,ntquC wanE,ntyquC wanE,kquC wanE,
,3;PL,yquC renqE,ntquC renqE,ntyquC renqE,kquC renqE,
,,,,,,
[3],yjwiq2,sold,tv,m-h-ls,m-h-ls,hl-ms-ls
,,CPL,PROG,HAB,POT,
,1;SG,yjwenqL,ntjwenqL,ntjwenqL,kjwenqL,
,2;SG,yjwiqE,ntjwiqE,ntjwiqH,kjwiqH,
,3;SG,yjwiqC,ntjwiqC,ntjwiqB,kjwiqB,
,1;PL;INCL,yjwenqCenE,ntjwenqCenE,ntjwenqB,kjwenqB,
,1;PL;EXCL,yjwiqC waG,ntjwiqC waG,ntjwiqBS waG,kjwiqBS waG,
,2;PL,yjwiqC wanE,ntjwiqC wanE,ntjwiqB wanS,kjwiqB wanS,
,3;PL,yjwiqC renqE,ntjwiqC renqE,ntjwiqB renqS,kjwiqB renqS,
,,,,,,
[4],xoq2 ki3,gathered,tv,m-h-ls,m-h-m,m-h-ls
,,CPL,PROG,HAB,POT,
,1;SG,xonqC kinF,nxonqC kinF,nxonqL kinF,xonqL kinF,
,2;SG,xoqE kiE,nxoqE kiE,nxoqE  kiE,xoqE kiE,
,3;SG,xoqC kiF,nxoqC kiF,nxoqC kiF,xoqC kiF,
,1;PL;INCL,xonqC kinCinE,nxonqC kinCinE,nxonqC kinCinE,xonqC kinCinE,
,1;PL;EXCL,xoqC kiF waG,nxoqC kiF waG,nxoqC kiF waG,xoqC kiF waG,
,2;PL,xoqC kiF wanJ,nxoqC kiF wanJ,nxoqC kiF wanJ,xoqC kiF wanJ,
,3;PL,xoqC kiF renqJ,nxoqC kiF renqJ,nxoqC kiF renqJ,xoqC kiF renqJ,
,,,,,,
[5],nchuq4,pooped,(intr/tr),l-lh-h,mh-lh-h,l-lh-ms
,,CPL,PROG,HAB,POT,
,1;SG,nchonqE,nchonqE,nchonqH,kchonH,
,2;SG,nchuqG,nchuqI,nchonqG,kchonqG,
,3;SG,nchuqA,nchuqI,nchuqA,kchuqA,
,1;PL;INCL,nchonqJanI,nchonqEanE,nchonqJanI,kchonqJanI,
,1;PL;EXCL,nchuqA waG,nchuqI waG,nchuqA waG,kchuqA waG,
,2;PL,nchuqA wanA,nchuqI wanA,nchuqA wanA,kchuqA wanA,
,3;PL,nchuqA renqA,nchuqI renqA,nchuqA renqA,kchuqA renqA,
,,,,,,
[5],yjoq4,poke,tv,l-lh-h,mh-lh-h,l-lh-ms
,,CPL,PROG,HAB,POT,
,1;SG,yjonqE,ntjonqE,ntyjonqH,kjonqH,
,2;SG,yjoqG,ntjoqG,ntyjoqG,kjoqG,
,3;SG,yjoqA,ntjoqI,ntyjoqA,kjoqA,
,1;PL;INCL,yjonqJonI,ntjonqEonE,ntyjonqJonI,kjonqJonI,
