Appendix. Corpus of singular forms of 197 SJQ Chatino verbs arranged by AM class and component PN triplets,,,,,,,,,,
[7/31/20],,,,,,,,,,
"AM
 class",Citation form,Gloss,P/N,CPL,PRG,HAB,POT,"CPL
[25],swiqHL,turned off,"1sg
 2sg
 3sg","swenqLS
 swiqMS
 swiqHL","nswenqLS
 nswiqH
 nswiqM","nswenqLS
 nswiqMS
 nswiqHL","swenqLS
 swiqMS
 swiqHL",⟨hl‑ms‑ls⟩,⟨m‑h‑ls⟩,⟨hl‑ms‑ls⟩
[26],yluHL/LM,grew,"1sg
 2sg
 3sg","ylonLS
 yluH
 yluHL/LM","ndlonLM
 ndluH
 ndluM/LM","ndlyonLS
 ndlyuMS
 ndlyuHL","klonLS
 kluMS
 kluHL",⟨hl/lm‑h‑ls⟩,⟨m/lm‑h‑lm⟩,⟨hl‑ms‑ls⟩
[27],xtyiqHS,untied,"1sg
 2sg
 3sg","xtenqLS
 xtyiqMS
 xtyiqHS","nxtenqLS
 nxtyiqMS
 nxtyiqHS","nxtenqLS
 nxtyiqMS
 nxtyiqHL","xtenqLS
 xtyiqMS
 xtyiqHL",⟨hs‑ms‑ls⟩,⟨hs‑ms‑ls⟩,⟨hl‑ms‑ls⟩
[28],xqwaHS/HL,paid,"1sg
 2sg
 3sg","xqwanLS
 xqwaMS
 xqwaHS/HL","nxqwanLS
 nxqwaH
 nxqwaHS","nxqwanLS
 nxqwaMS
 nxqwaHS","xqwanLS
 xqwaMS
 xqwaHS",⟨hs/hl‑ms‑ls⟩,⟨hs‑h‑ls⟩,⟨hs‑ms‑ls⟩
[29],nchuqL,pooped,"1sg
 2sg
 3sg","nchonqH
 nchuqLH
 nchuqL","nchonqH
 nchuqLH
 nchuqMH","nchonqMS
 nchonqLH
 nchuqL","kchonMS
 kchonqLH
 kchuqL",⟨l‑lh‑h⟩,⟨mh‑lh‑h⟩,⟨l‑lh‑ms⟩
[29],ykuL,ate,"1sg
 2sg
 3sg","ykonH
 ykuLH
 ykuL","ntykonH
 ntykuLH
 ntykuMH","ntykonMS
 ntykuLH
 ntykuL","konMS
 kuLH
 kuL",⟨l‑lh‑h⟩,⟨mh‑lh‑h⟩,⟨l‑lh‑ms⟩
[29],ykwiqL,spoke,"1sg
 2sg
 3sg","ykwenqH
 ykwiqLH
 ykwiqL","ntykwenqH
 ntykwiqLH
 ntykwiqMH","ntykwenqMS
 ntykwiqLH
 ntykwiqL","tykwenqMS
 tykwiqLH
 tykwiqL",⟨l‑lh‑h⟩,⟨mh‑lh‑h⟩,⟨l‑lh‑ms⟩
[29],ylaqL,touched,"1sg
 2sg
 3sg","ylanqH
 ylaqLH
 ylaqL","nlanqH
 nlaqLH
 nlaqMH","nlyanqMS
 nlyaqLH
 nlyaqL","klanqMS
 klaqLH
 klaqL",⟨l‑lh‑h⟩,⟨mh‑lh‑h⟩,⟨l‑lh‑ms⟩
[29],ytaL,planted,"1sg
 2sg
 3sg","ytanH
 ytaLH
 ytaL","ntanH
 ntaLH
 ntaMH","ntyanMS
 ntyaLH
 ntyanL","ktanMS
 ktaLH
 ktaL",⟨l‑lh‑h⟩,⟨mh‑lh‑h⟩,⟨l‑lh‑ms⟩
[29],ytiqL,sucked,"1sg
 2sg
 3sg","ytenqH
 ytiqLH
 ytiqL","ntenqH
 ntiqLH
 ntiqMH","ntyinqMS
 ntyiqLH
 ntyiqL","ktenqMS
 ktiqLH
 ktiqL",⟨l‑lh‑h⟩,⟨mh‑lh‑h⟩,⟨l‑lh‑ms⟩
[30],ndyiL,finished,"1sg
 2sg
 3sg","ndyinL
 ndyiLH
 ndyiL","ndyinMH
 ndyiLH
 ndyiMH","ndyinL
 ndyiLH
 ndyiL","tyinL
 tyiLH
 tyiL",⟨l‑lh‑l⟩,⟨mh‑lh‑mh⟩,⟨l‑lh‑l⟩
[30],ntykwaL,reached,"1sg
 2sg
 3sg","ntykwanL
 ntykwaLH
 ntykwaL","ntykwanMH
 ntykwaLH
 ntykwaMH","ntykwanL
 ntykwaLH
 ntykwaL","tykwanL
 tykwaLH
 tykwaL",⟨l‑lh‑l⟩,⟨mh‑lh‑mh⟩,⟨l‑lh‑l⟩
[30],ykwaqL,dripped,"1sg
 2sg
 3sg","ykwanqL
 ykwaqLH
 ykwaqL","ntykwanqMH
 ntykwaqLH
 ntykwaqMH","ntykwanqL
 ntykwaqLH
 ntykwaqL","tykwanqL
 tykwaqLH
 tykwaqL",⟨l‑lh‑l⟩,⟨mh‑lh‑mh⟩,⟨l‑lh‑l⟩
[30],ytaL,waited,"1sg
 2sg
 3sg","ytanL
 ytaLH
 ytaL","ntanMH
 ntaLH
 ntaMH","ntyanL
 ntyaLH
 ntyanL","ktanL
 ktaLH
 ktaL",⟨l‑lh‑l⟩,⟨mh‑lh‑mh⟩,⟨l‑lh‑l⟩
[31],qanL,sat,"1sg
 2sg
 3sg","qanMS
 qanLH
 qanL","nkqanH
 nkqanLH
 nkqanL","ntyqanMS
 ntyqanLH
 ntyqanL","tyqanMS
 tyqanLH
 tyqanL",⟨l‑lh‑ms⟩,⟨l‑lh‑h⟩,⟨l‑lh‑ms⟩
[32],qenL,existed,"1sg
 2sg
 3sg","qenMS
 qenLH
 qenL","ntqenMS
 ntqeLH
 ntqenL","ntyqinMS
 ntyqinLH
 ntyqinL","tyqinMS
 tyqinLH
 tyqinL",⟨l‑lh‑ms⟩,⟨l‑lh‑ms⟩,⟨l‑lh‑ms⟩
[32],yqwiL,existed,"1sg
 2sg
 3sg","yqwenMS
 yqwiLH
 yqwiL","sqwenMS
 sqwiLH
 sqwiL","ntyqwenMS
 ntyqwiLH
 ntyqwiL","tyqwenMS
 tyqwiLH
 tyqwiL",⟨l‑lh‑ms⟩,⟨l‑lh‑ms⟩,⟨l‑lh‑ms⟩
[33],stiL,laid on the ground,"1sg
 2sg
 3sg","stenMS
 stiLH
 stiL","nsonMS
 nsuMH
 nsuLH","nxtyinMS
 nxtyinLH
 nxtyiL","xtyinMS
 xtyiLH
 xtyiL",⟨l‑lh‑ms⟩,⟨lh‑mh‑ms⟩,⟨l‑lh‑ms⟩
[34],qanL,went around,"1sg
 2sg
 3sg","qanMS
 qanLH
 qanL","ntqanH
 ntqanLH
 ntqanMH","ntyqanMS
 ntyqanLH
 ntyqanL","tyqanMS
 tyqanLH
 tyqanL",⟨l‑lh‑ms⟩,⟨mh‑lh‑h⟩,⟨l‑lh‑ms⟩
[35],yjoqL/H,poked,"1sg
 2sg
 3sg","yjonqH
 yjoqLH
 yjoqL/H","ntjonqH
 ntjoqLH
 ntjoqMH","ntyjonqMS
 ntyjoqLH
 ntyjoqL/MS","kjonqMS
 kjoqLH
 kjoqL/MS",⟨l/h‑lh‑h⟩,⟨mh‑lh‑h⟩,⟨l/ms‑lh‑ms⟩
[36],ntyiL/H,"dried, erased","1sg
 2sg
 3sg
 1incl","ntyinL
 ntyiLH
 ntyiL/H
 ntyinHinH","ntyinMH
 ntyiLH
 ntyiMH/H","ntyinL
 ntyiLH
 ntyiMS","ktyinL
 ktyiLH
 ktyiMS",⟨l/h‑lh‑l⟩,⟨mh/h‑lh‑mh⟩,⟨ms‑lh‑l⟩
[37],ntyjanqL,infected,"1sg
 2sg
 3sg
 1incl","ntyjanqLS
 ntyjanqLH
 ntyjanqL/H
 ntyjanqHanH","ntyjanqMH
 ntyjanqLH
 ntyjanqMH
 ntyjanqMHanH","ntyjanqL
 ntyjanqLH
 ntyjanqL/MS","tyjanqL
 tyjanqLH
 tyjanqL/MS",⟨l/h‑lh‑ls⟩,⟨mh‑lh‑mh⟩,⟨l/ms‑lh‑l⟩
[38],ndonLH,stood,"1sg
 2sg
 3sg","ndonH
 ndonMH
 ndonLH","ndonMS
 ndonMH
 ndonLH","ndyonMS
 ndyonLH
 ndyonML","tyonMS
 tyonLH
 tyonML",⟨lh‑mh‑h⟩,⟨lh‑mh‑ms⟩,⟨ml‑lh‑ms⟩
[39],qneLH,did,"1sg
 2sg
 3sg","qnenH
 qneMH
 qneLH","nqnenH
 nqneMH
 nqneMH","nqnenMS
 nqneLH
 nqneML","qnenMS
 qneLH
 qneML",⟨lh‑mh‑h⟩,⟨mh‑mh‑h⟩,⟨ml‑lh‑ms⟩
[40],jlyaLH,farted,"1sg
 2sg
 3sg","jlyanHL
 jlyaMH
 jlyaLH","ntjlyanMH
 ntjlyaMH
 ntjlyaMH","ntjlyanHL
 ntjlyaLH
 ntjlyaHL","jlyanHL
 jlyaLH
 jlyaHL",⟨lh‑mh‑hl⟩,⟨mh‑mh‑mh⟩,⟨hl‑lh‑hl⟩
[41],neLH,sounded,"1sg
 2sg
 3sg","nenL
 neMH
 neLH","nnenH
 nneMH
 nneMH","nnenHL
 nneLH
 nneHL","knenHL
 kneLH
 kneHL",⟨lh‑mh‑l⟩,⟨mh‑mh‑h⟩,⟨hl‑lh‑hl⟩
[42],ntonLH,grew,"1sg
 2sg
 3sg","ntonL
 ntonMH
 ntonLH","ntonH
 ntonMH
 ntonMH","ntyonLS
 ntyonMS
 ntyonHL","ktonLS
 ktonMS
 ktonHL",⟨lh‑mh‑l⟩,⟨mh‑mh‑h⟩,⟨hl‑ms‑ls⟩
[43],ntonLM,reproduced oneself,"1sg
 2sg
 3sg
 1incl","ntonL
 ntonMH
 ntonLH","ntonMH
 ntonMH
 ntonMH
 ntonMHonMH","ntyonLS
 ntyonLH
 ntyonHL","ktonLS
 ktonLH
 ktonHL",⟨lh‑mh‑l⟩,⟨mh‑mh‑mh⟩,⟨hl‑lh‑ls⟩
[44],ytsenLH,got scared,"1sg
 2sg
 3sg","ytsenL
 ytsenMH
 ytsenLH","ntsenMH
 ntsenMH
 ntsenMH","ntsenL
 ntsenLS
 ntsenHL","ktsenL
 ktsenLS
 ktsenHL",⟨lh‑mh‑l⟩,⟨mh‑mh‑mh⟩,⟨hl‑ls‑l⟩
[45],ntsaqLH,got wet,"1sg
 2sg
 3sg","ntsanqL
 ntsaqMH
 ntsaqLH","ntsanqMH
 ntsaqMH
 ntsaqMH","nchanqL
 nchaqLH
 nchaqL","ksanqL
 ksaqLH
 ksaqL",⟨lh‑mh‑l⟩,⟨mh‑mh‑mh⟩,⟨l‑lh‑l⟩
[46],ntsuLH,blossomed,"1sg
 2sg
 3sg","ntsonL
 ntsuMH
 ntsuLH","ntsonMH
 ntsuMH
 ntsuMH","ntsonL
 nchuLH
 nchuML","ktsonL
 ktsuLH
 ktsuML",⟨lh‑mh‑l⟩,⟨mh‑mh‑mh⟩,⟨ml‑lh‑l⟩
[46],nchaqLH,dampened,"1sg
 2sg
 3sg","nchanqL
 nchaqMH
 nchaqLH","nchanqMH
 nchaqMH
 nchaqMH","nchanqL
 nchaqLH
 nchaqML","kchanqL
 kchaqLH
 kchaqML",⟨lh‑mh‑l⟩,⟨mh‑mh‑mh⟩,⟨ml‑lh‑l⟩
[46],ndenLH,carried,"1sg
 2sg
 3sg","ndenL
 ndenMH
 ndenLH","ndenMH
 ndenMH
 ndenMH","ndenL
 ndenLH
 ndenML","tenL
 tenLH
 tenML",⟨lh‑mh‑l⟩,⟨mh‑mh‑mh⟩,⟨ml‑lh‑l⟩
[46],ntsenLH,got scared,"1sg
 2sg
 3sg","ntsenL
 ntsenMH
 ntsenLH","ntsenMH
 ntsenMH
 ntsenMH","ntsenL
 ntsenLH
 ntsenML","ktsenL
 ktsenLH
 ktsenML",⟨lh‑mh‑l⟩,⟨mh‑mh‑mh⟩,⟨ml‑lh‑l⟩
[46],stonLH,plucked,"1sg
 2sg
 3sg","stonL
 stonMH
 stonLH","nstonMH
 nstonMH
 nstonMH","nstonL
 nstonLH
 nstonML","stonL
 stonLH
 stonML",⟨lh‑mh‑l⟩,⟨mh‑mh‑mh⟩,⟨ml‑lh‑l⟩
[46],yjwiLH,hit someone,"1sg
 2sg
 3sg","yjwenL
 yjwiMH
 yjwiLH","ntjwenMH
 ntjwiMH
 ntjwiMH","ntjwenL
 ntjwiLH
 ntjwiML","kjwenL
 kjwiLH
 kjwiML",⟨lh‑mh‑l⟩,⟨mh‑mh‑mh⟩,⟨ml‑lh‑l⟩
[46],ynaLH,heard,"1sg
 2sg
 3sg","ynanL
 ynaMH
 ynaLH","nnanMH
 nnaMH
 nnaMH","nanL
 naLH
 naML","knanML
 knaLH
 knaML",⟨lh‑mh‑l⟩,⟨mh‑mh‑mh⟩,⟨ml‑lh‑l⟩
[47],ntykonqLH,shrank,"1sg
 2sg
 3sg","ntykonqHL
 ntykonqMH
 ntykonqLH","ntykonqH
 ntykonqMH
 ntykonqMH","NtykonqHL
 ntykonqLH
 ntykonqHL","tykonqHL
 tykonqLH
 tykonqHL",⟨lh‑mh‑lh⟩,⟨mh‑mh‑h⟩,⟨hl‑lh‑hl⟩
[48],xlyuLH,turned around,"1sg
 2sg
 3sg","xlyonLH
 xlyuMH
 xlyuLH","nxlyonMH
 nxlyuMH
 nxlyuMH","nxlyonL
 nxlyuLH
 nxlyuLH","xlyonL
 xlyuLH
 xlyuLH",⟨lh‑mh‑lh⟩,⟨mh‑mh‑mh⟩,⟨lh‑lh‑l⟩
[49],ndlyuLH,turned around,"1sg
 2sg
 3sg","ndlyonLH
 ndlyuMH
 ndlyuLH","ndlyonMH
 ndlyuMH
 ndlyuMH","ndlyonLH
 ndlyuLH
 ndlyuLH","tlyonLH
 tlyuLH
 tlyuLH",⟨lh‑mh‑lh⟩,⟨mh‑mh‑mh⟩,⟨lh‑lh‑lh⟩
[50],nduqLH,coughed,"1sg
 2sg
 3sg","ndonqLH
 nduqMH
 nduqLH","ndonqMH
 nduqMH
 nduqMH","ndyonqML
 ndyuqLH
 ndyuqML","tyonqML
 tyuqLH
 tyuqML",⟨lh‑mh‑lh⟩,⟨mh‑mh‑mh⟩,⟨ml‑lh‑ml⟩
[50],ngeLH,endured,"1sg
 2sg
 3sg","nginLH
 ngeMH
 ngeLH","ndyinMH
 ndyeMH
 ndyeMH","ndyinML
 ndyeLH
 ndyeML","kiinML
 keeLH
 keeML",⟨lh‑mh‑lh⟩,⟨mh‑mh‑mh⟩,⟨ml‑lh‑ml⟩
[50],nkqwaLH,got cold,"1sg
 2sg
 3sg","nkqwanLH
 nkqwaMH
 nkqwaLH","ntqwanMH
 ntqwaMH
 ntqwaMH","ntyqwanML
 ntyqwaLH
 ntyqwaML","kqwanML
 kqwaLH
 kqwaML",⟨lh‑mh‑lh⟩,⟨mh‑mh‑mh⟩,⟨ml‑lh‑ml⟩
[50],qyaLH,came down,"1sg
 2sg
 3sg","qyanLH
 qyaMH
 qyaLH","ntqyanMH
 ntqyaMH
 ntqyaMH","ntqyanML
 ntqyaLH
 ntqyaML","kqyanML
 kqyaLH
 kqyaML",⟨lh‑mh‑lh⟩,⟨mh‑mh‑mh⟩,⟨ml‑lh‑ml⟩
[51],nkjwiLH,died,"1sg
 2sg
 3sg","nkjwenLS
 nkjwiMH
 nkjwiLH","ntyjinMH
 ntyjiLH
 ntyjiMH","ntyjinL
 ntyjiLH
 ntyjiL","kjanL
 kjaLH
 kjaL",⟨lh‑mh‑ls⟩,⟨mh‑lh‑mh⟩,⟨l‑lh‑l⟩
[52],xinLH,"got poison 
 e.g. poison oak","1sg
 2sg
 3sg","xinLS
 xinMH
 xinLH","nxinH
 nxinMH
 nxinMH","nxinL
 nxinLH
 nxinHL","kxinL
 kxinLH
 xinHL",⟨lh‑mh‑ls⟩,⟨mh‑mh‑h⟩,⟨hl‑lh‑l⟩
[53],nxinLH,reproduced,"1sg
 2sg
 3sg","nxinLS
 nxinMH
 nxinLH","nxinMH
 nxinMH
 nxinMH","nxinL
 nxinMS
 nxinHL","kxinL
 kxinMS
 kxinHL",⟨lh‑mh‑ls⟩,⟨mh‑mh‑mh⟩,⟨hl‑ms‑l⟩
[54],nkyaLH,came home,"1sg
 2sg
 3sg","nkyqanMH
 nkyaMH
 nkyaLH","jyanLH
 jyanLH
 jyanHL","nkyanML
 nkyaLH
 nkyaML","kyanML
 kyanLH
 yanL",⟨lh‑mh‑mh⟩,⟨hl‑lh‑lh⟩,⟨ml‑lh‑ml⟩
[55],yaLH,went away,"1sg
 2sg
 3sg","yqanMH
 yaMH
 yaLH","nkyqanML
 nkyaLH
 nkyaL","ntyqanMS
 ntyqaLH
 ntyqanL","sqanML
 tsaLH
 tsaML",⟨lh‑mh‑mh⟩,⟨l‑lh‑ml⟩,⟨l‑lh‑ms⟩
[56],ngyaLH,went back home,"1sg
 2sg
 3sg","nkyqanMH
 ngyaMH
 ngyaLH","nkyqanML
 nkyaLH
 nkyaML","nkyqanML
 nkyaLH
 nkyaML","kyqanML
 kyaLH
 kyaML",⟨lh‑mh‑mh⟩,⟨ml‑lh‑ml⟩,⟨ml‑lh‑ml⟩
[57],ntsaML,divided up,"1sg
 2sg
 3sg","ntsanML
 ntsaMH
 ntsaLH","ntsanH
 ntsanMH
 ntsaH","ntsanML
 ntsaLH
 ntsaML","ktsanML
 ktsaLH
 ktsaML",⟨lh‑mh‑ml⟩,⟨h‑mh‑h⟩,⟨ml‑lh‑ml⟩
[58],xkonqLH,"dressed or 
 covered someone","1sg
 2sg
 3sg","xkonqML
 xkuqMH
 xkuqLH","nxkonqH
 nxkuqH
 nxkuqM","nxkonqMS
 nxkonqMS
 nxkonqHL","xkonqMS
 xkonqMS
 xkonqHL",⟨lh‑mh‑ml⟩,⟨m‑h‑h⟩,⟨hl‑ms‑ms⟩
[59],qeLH,licked,"1sg
 2sg
 3sg
 1incl","qenML
 qeMH
 qeLH","ntqenH
 ntqeMH
 ntqeMH","ntyqinML
 ntyqeLH
 ntyqeML
 ntyqeMLenMH","qinML
 qeLH
 qeML
 qeMLenMH",⟨lh‑mh‑ml⟩,⟨mh‑mh‑h⟩,⟨ml‑lh‑ml⟩
[60],nkonqLH,pecked at,"1sg
 2sg
 3sg","nkonqML
 nkonqMH
 nkonqLH","ntkonqMH
 ntkonqMH
 ntkonqMH","ntkonqML
 ntkonqLH
 ntkonqML","konqML
 konqLH
 konqML",⟨lh‑mh‑ml⟩,⟨mh‑mh‑mh⟩,⟨ml‑lh‑ml⟩
[60],yqanLH,washed,"1sg
 2sg
 3sg","yqanML
 yqanMH
 yqanLH","ntyqanMH
 ntyqanMH
 ntyqanMH","ntyqanML
 ntyqanLH
 ntyqanML","yqanML
 yqanLH
 yqanML",⟨lh‑mh‑ml⟩,⟨mh‑mh‑mh⟩,⟨ml‑lh‑ml⟩
[61],yjaqLM,slept,"1sg
 2sg
 3sg","yjanqH
 yjaqH
 yjaqLM","ntjanqMS
 ntjaqMS
 ntjaqHL","ntyjanqMS
 ntyjaqMS
 ntyjaqHL","kjanqMS
 kjaqMS
 kjaqHL",⟨lm‑h‑h⟩,⟨hl‑ms‑ms⟩,⟨hl‑ms‑ms⟩
[62],ytsaqLM,told,"1sg
 2sg
 3sg","ytsanqH
 ytsaqH
 ytsaqLM","ntsanqH
 ntsaqH
 ntsaqLM","ntsanqMS
 ntsaqMS
 ntsaqHL","ktsanqMS
 ktsaqMS
 ktsaqHL",⟨lm‑h‑h⟩,⟨lm‑h‑h⟩,⟨hl‑ms‑ms⟩
[63],nsuqLM,was aging,"1sg
 2sg
 3sg","nsonqLM
 nsuqH
 nsuqLM","nsonqLM
 nsuqH
 nsuqLM","nsonqLS
 nsuqMS
 nsuqHL","ksonqLS
 ksuqMS
 ksuqHL",⟨lm‑h‑lm⟩,⟨lm‑h‑lm⟩,⟨hl‑ms‑ls⟩
[64],ndyaLM,"returned a 
 borrowed object","1sg
 2sg
 3sg","ndyanLM
 ndyanH
 ndyaLM","ndyanLM
 ndyanH
 ndyaLM","ndyanLM
 ndyaH
 ndyaLM","tyanLM
 tyaH
 tyaLM",⟨lm‑h‑lm⟩,⟨lm‑h‑lm⟩,⟨lm‑h‑lm⟩
[64],ngylaLM,melted,"1sg
 2sg
 3sg","ngylanLM
 ngylaH
 ngylaLM","ndylanLM
 ndylaH
 ndylaLM","ngylanLM
 ngylaH
 ngylaLM","nkylanLM
 nkylaH
 nkylaLM",⟨lm‑h‑lm⟩,⟨lm‑h‑lm⟩,⟨lm‑h‑lm⟩
[64],xlaLM,melted,"1sg
 2sg
 3sg","xlanLM
 xlaH
 xlaLM","nxlanLM
 nxlaH
 nxlaLM","nxlanLM
 nxlaH
 nxlaLM","xlanLM
 xlaH
 xlaLM",⟨lm‑h‑lm⟩,⟨lm‑h‑lm⟩,⟨lm‑h‑lm⟩
[65],jwiLM,got something,"1sg
 2sg
 3sg","jwenLM
 jwiH
 jwiLM","ntyjinLS
 ntyjiH
 ntyjiM","ntyjinLS
 ntyjiMS
 ntyjiHL","janLS
 jaMS
 jaHL",⟨lm‑h‑lm⟩,⟨m‑h‑ls⟩,⟨hl‑ms‑ls⟩
[66],ntsiqLM,buried,"1sg
 2sg
 3sg","ntsenqLS
 ntsiqH
 ntsiqLM","ntsenqLM
 ntsiqH
 ntsiqLM","ntsenqLS
 ntsiqMS
 ntsiqHL","ktsenqLS
 ktsiqMS
 ktsiqHL",⟨lm‑h‑ls⟩,⟨lm‑h‑lm⟩,⟨hl‑ms‑ls⟩
[67],nkwaLM,strained,"1sg
 2sg
 3sg","nkwanLS
 nkwaH
 nkwaLM","ntkwanLS
 ntkwaH
 ntkwaLM","ntkwanLS
 ntkwaH
 ntykwaHL","kwanLS
 kwaH
 kwaHL",⟨lm‑h‑ls⟩,⟨lm‑h‑ls⟩,⟨hl‑h‑ls⟩
[68],kwaLM,swept,"1sg
 2sg
 3sg","kwanLS
 kwaH
 kwaLM","ntkwanLS
 ntkwaH
 ntkwaLM","ntkwanLS
 ntkwaMS
 ntkwaHL","kwanLS
 kwaMS
 kwaHL",⟨lm‑h‑ls⟩,⟨lm‑h‑ls⟩,⟨hl‑ms‑ls⟩
[68],ntenLM,entered,"1sg
 2sg
 3sg","ntenLS
 ntenH
 ntenLM","ntenLS
 ntenH
 ntenLM","ntenLS
 ntenMS
 ntenHL","stenLS
 stenMS
 stenHL",⟨lm‑h‑ls⟩,⟨lm‑h‑ls⟩,⟨hl‑ms‑ls⟩
[68],ntkonqLM,"closed, covered","1sg
 2sg
 3sg","ntkonqLS
 ntkonqH
 ntkonqLM","ntkonqLS
 ntkonqH
 ntkonqLM","ntkonqLS
 ntkonqMS
 ntkonqHL","skonqLS
 skonqMS
 skonqHL",⟨lm‑h‑ls⟩,⟨lm‑h‑ls⟩,⟨hl‑ms‑ls⟩
[68],ntyinqLM,closed eyes,"1sg
 2sg
 3sg","ntyinqLS
 ntyinqH
 ntyinqLM","ntyinqLS
 ntyinqH
 ntyinqLM","ntyinqLS
 ntyinqMS
 ntyinqHL","ktyinqLS
 ktyinqMS
 ktyinqHL",⟨lm‑h‑ls⟩,⟨lm‑h‑ls⟩,⟨hl‑ms‑ls⟩
[68],ntykanqLM,was tied,"1sg
 2sg
 3sg","ntykanqLS
 ntykanqH
 ntykanqLM","ntykanqLS
 ntykanqH
 ntykanqLM","ntykanqLS
 ntykanqMS
 ntykanqHL","tykanqLS
 tykanqMS
 tykanqHL",⟨lm‑h‑ls⟩,⟨lm‑h‑ls⟩,⟨hl‑ms‑ls⟩
[68],ntykwenLM,climbed,"1sg
 2sg
 3sg","ntykwenLS
 ntykwenH
 ntykwenLM","ntykwenLS
 ntykwenH
 ntykwenLM","ntykwenLS
 ntykwenMS
 ntykwenHL","tykwenLS
 tykwenMS
 tykwenHL",⟨lm‑h‑ls⟩,⟨lm‑h‑ls⟩,⟨hl‑ms‑ls⟩
[68],qyaLM,bought or carried,"1sg
 2sg
 3sg","qyanLS
 qyaH
 qyaLM","ntyqyanLS
 ntyqyaH
 ntyqyaLM","ntyqyanLS
 ntyqyaMS
 ntyqyaHL","qyanLS
 qyaMS
 qyaHL",⟨lm‑h‑ls⟩,⟨lm‑h‑ls⟩,⟨hl‑ms‑ls⟩
[68],skanqLM,tied up,"1sg
 2sg
 3sg","skanqLS
 skanqH
 skanqLM","ntskanqLS
 ntskanqH
 ntskanqLM","ntskanqLS
 ntskanqMS
 ntskanqHL","skanqLS
 skanqMS
 skanqHL",⟨lm‑h‑ls⟩,⟨lm‑h‑ls⟩,⟨hl‑ms‑ls⟩
[68],skonqLM,closed,"1sg
 2sg
 3sg","skonqLS
 skonqH
 skonqLM","ntskonqLS
 ntskonqH
 ntskonqLM","ntkonqLS
 ntkonqMS
 ntskonqHL","skonqLS
 skonqMS
 skonqHL",⟨lm‑h‑ls⟩,⟨lm‑h‑ls⟩,⟨hl‑ms‑ls⟩
[68],skwaLM,lay elevated,"1sg
 2sg
 3sg","skwanLS
 skwaH
 skwaLM","nskwanLS
 nskwaH
 nskwaLM","nxkwanLS
 nxkwaMS
 nxkwaHL","xkwanLS
 xkwaMS
 xkwaHL",⟨lm‑h‑ls⟩,⟨lm‑h‑ls⟩,⟨hl‑ms‑ls⟩
[68],snaLM,ran away,"1sg
 2sg
 3sg","snanLS
 snaH
 snaLM","nsnanLS
 nsnaH
 nsnaLM","nxnanLS
 nxnaMS
 nxnaHL","xnanLS
 xnaMS
 xnaHL",⟨lm‑h‑ls⟩,⟨lm‑h‑ls⟩,⟨hl‑ms‑ls⟩
[68],sneLM,spread around,"1sg
 2sg
 3sg","snenLS
 sneH
 sneLM","nsnenLS
 nsneH
 nsneLM","nsnenLS
 nsneMS
 nsneHL","snenLS
 sneMS
 sneHL",⟨lm‑h‑ls⟩,⟨lm‑h‑ls⟩,⟨hl‑ms‑ls⟩
[68],swenqLM,burned,"1sg
 2sg
 3sg","swenqLS
 swenqH
 swenqLM","nswenqLS
 nswenqH
 nswenqLM","nswenqLS
 nswenqMS
 nswenqHL","swenqLS
 swenqMS
 swenqHL",⟨lm‑h‑ls⟩,⟨lm‑h‑ls⟩,⟨hl‑ms‑ls⟩
[68],ylaLM,sang,"1sg
 2sg
 3sg","ylanLS
 ylaH
 ylaLM","ndlanLS
 ndlaH
 ndlaLM","ndlanLS
 ndlaMS
 ndlaHL","klanLS
 klaMS
 klaHL",⟨lm‑h‑ls⟩,⟨lm‑h‑ls⟩,⟨hl‑ms‑ls⟩
[68],ynaLM,cried,"1sg
 2sg
 3sg","ynanLS
 ynaH
 ynaLM","nanLS
 naH
 naLM","nanLS
 naMS
 naHL","knanLS
 knaMS
 knaHL",⟨lm‑h‑ls⟩,⟨lm‑h‑ls⟩,⟨hl‑ms‑ls⟩
[69],ndywiqLM,turned it off,"1sg
 2sg
 3sg","ndywenqLS
 ndywiqH
 ndywiqLM","ndywenqLS
 ndywiqH
 ndywiqM","ndywenqLS
 ndywiqMS
 ndywiqHL","tywenqLS
 tywiqMS
 tywiqHL",⟨lm‑h‑ls⟩,⟨m‑h‑ls⟩,⟨hl‑ms‑ls⟩
[69],nkeqLM,cooked,"1sg
 2sg
 3sg","nkenqLS
 nkeqH
 nkeqLM","ntykinqLS
 ntykeqH
 ntykeqM","ntykinqLS
 ntykeqMS
 ntykeqHL","kinqLS
 keqMS
 keqHL",⟨lm‑h‑ls⟩,⟨m‑h‑ls⟩,⟨hl‑ms‑ls⟩
[70],ndaLM,gave,"1sg
 2sg
 3sg","ndanL
 ndaLH
 ndaLM","ndanMH
 ndaLH
 ndaH","ndanL
 ndaLH
 ndaMS","tanL
 taLH
 taMS",⟨lm‑lh‑l⟩,⟨h‑lh‑mh⟩,⟨ms‑lh‑l⟩
[71],sonLM,fought,"1sg
 2sg
 3sg","sonL
 sonLS
 sonLM","nsonMH
 nsonLS
 nsonH","nxonL
 nxonLS
 nxonMS","xonL
 xonLS
 xonMS",⟨lm‑ls‑l⟩,⟨h‑ls‑mh⟩,⟨ms‑ls‑l⟩
