Appendix. Corpus of singular forms of 197 SJQ Chatino verbs arranged by AM class and component PN triplets,,,,,,,,,,
[7/31/20],,,,,,,,,,
"AM
 class",Citation form,Gloss,P/N,CPL,PRG,HAB,POT,"CPL
[02],qnyiH,hit,"1sg
 2sg
 3sg","qninL
 qniLH
 qnyiH","nqninMH
 nqniLH
 nqniH","nqninL
 nqniLH
 nqniMS","kqninL
 kqnyiLH
 kqniMS",⟨h‑lh‑l⟩,⟨h‑lh‑mh⟩,⟨ms‑lh‑l⟩
[02],senH,squeezed it,"1sg
 2sg
 3sg
 1incl","senL
 senLH
 senH
 senLHenLH","nsenMH
 nsenLH
 nsenH","nsenL
 nsenLH
 nsenMS","senL
 senLH
 senMS",⟨h‑lh‑l⟩,⟨h‑lh‑mh⟩,⟨ms‑lh‑l⟩
[02],skwanH,plucked,"1sg
 2sg
 3sg","skwanL
 skwaanLH
 skwanH","nskwanMH
 nskwanLH
 nskwanH","nxkwanL
 nxkwanLH
 nxkwanMS","xkwanL
 xkwanLH
 xkwanMS",⟨h‑lh‑l⟩,⟨h‑lh‑mh⟩,⟨ms‑lh‑l⟩
[02],skwaqH,"took out corn 
 kernels from cob","1sg
 2sg
 3sg","skwanqL
 skwaqLH
 skwaqH","nskwanqMH
 nskwaqLH
 nskwaqH","nchkwanqL
 nchkwaqLH
 nchkwaqMS","skwanqL
 skwaqLH
 skwaqMS",⟨h‑lh‑l⟩,⟨h‑lh‑mh⟩,⟨ms‑lh‑l⟩
[02],skwenH,shook,"1sg
 2sg
 3sg","skwenL
 skwenLH
 skwenH","nskwenMH
 nskwenLH
 nskwenH","nskwenL
 nskwenLH
 nskwenMS","skwenL
 skwenLH
 skwenMS",⟨h‑lh‑l⟩,⟨h‑lh‑mh⟩,⟨ms‑lh‑l⟩
[02],slaH,opened,"1sg
 2sg
 3sg","slanL
 slaLH
 slaH","nslanMH
 nslaLH
 nslaH","nslanL
 nslaLH
 nslaMS","slanL
 slaLH
 slaMS",⟨h‑lh‑l⟩,⟨h‑lh‑mh⟩,⟨ms‑lh‑l⟩
[02],slaqH,"said good bye 
 for a last time","1sg
 2sg
 3sg","slanqL
 slaqLH
 slaqH","nslanqMH
 nslaqLH
 nslaqH","nslanqL
 nslaqLH
 nslaqMS","slanqL
 slaqLH
 slaqMS",⟨h‑lh‑l⟩,⟨h‑lh‑mh⟩,⟨ms‑lh‑l⟩
[02],snyaqH,pinched,"1sg
 2sg
 3sg","snyanqL
 snyaqLH
 snyaqH","nsnyanqMH
 nsnyaqLH
 nsnyaqH","nsnyanqL
 nsnyaqLH
 nsnyaqMS","snyanqL
 snyaqLH
 snyaqMS",⟨h‑lh‑l⟩,⟨h‑lh‑mh⟩,⟨ms‑lh‑l⟩
[02],sqnaH,caused to swing,"1sg
 2sg
 3sg","sqnanL
 sqnaLH
 sqnaH","nsqnanMH
 nsqnaLH
 nsqnaH","nsqnanL
 nsqnaLH
 nsqnaMS","sqnanL
 sqnaLH
 sqnaMS",⟨h‑lh‑l⟩,⟨h‑lh‑mh⟩,⟨ms‑lh‑l⟩
[02],sqyaH,screamed,"1sg
 2sg
 3sg","sqyanL
 sqyaLH
 sqyaH","nsqyanMH
 nsqyaLH
 nsqyaH","nxqyanL
 nxqyaLH
 nxqyaMS","xqyanL
 xqyaLH
 xqyaMS",⟨h‑lh‑l⟩,⟨h‑lh‑mh⟩,⟨ms‑lh‑l⟩
[02],sqyuH,cut up,"1sg
 2sg
 3sg","sqyonL
 sqyuLH
 sqyuH","nsqyonMH
 nsqyuLH
 nsqyuH","nsqyonL
 nsqyuLH
 nsqyuMS","sqyonL
 sqyuLH
 sqyuMS",⟨h‑lh‑l⟩,⟨h‑lh‑mh⟩,⟨ms‑lh‑l⟩
[02],staH,crushed,"1sg
 2sg
 3sg","stanL
 staLH
 staH","nstanMH
 nstaLH
 nstaH","nstanL
 nstaLH
 nstaMS","stanL
 staLH
 staMS",⟨h‑lh‑l⟩,⟨h‑lh‑mh⟩,⟨ms‑lh‑l⟩
[02],styiH,laughed,"1sg
 2sg
 3sg","styinL
 styiLH
 styiH","nstyinMH
 nstyiLH
 nstyiH","nstyinL
 nstyiLH
 nstyiMS","styinL
 styiLH
 styiMS",⟨h‑lh‑l⟩,⟨h‑lh‑mh⟩,⟨ms‑lh‑l⟩
[02],xkiH,bent,"1sg
 2sg
 3sg","xkinL
 xkiLH
 xkiH","nxkinMH
 nxkiLH
 nxkiH","nxkinL
 nxkiLH
 nxkiMS","xkinL
 xkiLH
 xkiMS",⟨h‑lh‑l⟩,⟨h‑lh‑mh⟩,⟨ms‑lh‑l⟩
[02],xqanH,changed,"1sg
 2sg
 3sg","xqanL
 xqanLH
 xqanH","nxqanMH
 nxqanLH
 nxqanH","nxqanL
 nxqanLH
 nxqanMS","xqanL
 xqanLH
 xqanMS",⟨h‑lh‑l⟩,⟨h‑lh‑mh⟩,⟨ms‑lh‑l⟩
[02],ykwanqH,slapped,"1sg
 2sg
 3sg","ykwanqL
 ykwanqLH
 ykwanqH","ntykwanqMH
 ntykwanqLH
 ntykwanqH","ntykwanqL
 ntykwanqLH
 ntykwanqMS","ykwanqL
 ykwanqLH
 ykwanqMS",⟨h‑lh‑l⟩,⟨h‑lh‑mh⟩,⟨ms‑lh‑l⟩
[02],ykwenqH,swallowed,"1sg
 2sg
 3sg","ykwenqL
 ykwenqLH
 ykwenqH","ntykwenqMH
 ntykwenqLH
 ntykwenqH","ntykwenqL
 ntykwenqLH
 ntykwenqMS","tykwenqL
 tykwenqLH
 tykwenqMS",⟨h‑lh‑l⟩,⟨h‑lh‑mh⟩,⟨ms‑lh‑l⟩
[02],yluH,dug,"1sg
 2sg
 3sg","ylonL
 yluLH
 yluH","nlonMH
 nluLH
 nluH","nlonL
 nluLH
 nluMS","klonL
 kluLH
 kluMS",⟨h‑lh‑l⟩,⟨h‑lh‑mh⟩,⟨ms‑lh‑l⟩
[02],ynaqH,got lost,"1sg
 2sg
 3sg","ynanqL
 ynaqLH
 ynaqH","nnanqMH
 nnaqLH
 nnaqH","nnanqL
 nnaqLH
 nnaqMS","knanqL
 knaqLH
 knaqMS",⟨h‑lh‑l⟩,⟨h‑lh‑mh⟩,⟨ms‑lh‑l⟩
[03],sqanH,filled,"1sg
 2sg
 3sg","sqanL
 sqanLH
 sqanH","nsqanMS
 nsqanLH
 nsqanH","ntsqanL
 ntsqanLH
 ntsqanMS","sqanL
 sqanLH
 sqanMS",⟨h‑lh‑l⟩,⟨h‑lh‑ms⟩,⟨ms‑lh‑l⟩
[04],nkwiH,flew,"1sg
 2sg
 3sg","nkwenL
 nkwiLH
 nkwiH","ntkwenMS
 ntkwiLH
 ntkwiH","ntykwenMS
 ntykwiLH
 ntykwiMS","tykwenL
 tykwiLH
 tykwiMS",⟨h‑lh‑l⟩,⟨h‑lh‑ms⟩,⟨ms‑lh‑ms⟩
[05],nkqwaH,drowned,"1sg
 2sg
 3sg","nkqwanL
 nkqwaLH
 nkqwaH","nkqwanMH
 nkqwaMH
 nkqwaH","ntyqwanML
 ntyqwaLH
 ntyqwaML","tyqwanML
 tyqwaLH
 tyqwaML",⟨h‑lh‑l⟩,⟨h‑mh‑mh⟩,⟨ml‑lh‑ml⟩
[06],ylaH,was born,"1sg
 2sg
 3sg","ylanL
 ylaLH
 ylaH","nlanMH
 nlaLH
 nlaMH","nlyanL
 nlyaLH
 nlyaL","klanL
 klaLH
 klaL",⟨h‑lh‑l⟩,⟨mh‑lh‑mh⟩,⟨l‑lh‑l⟩
[07],ndlyuH,"fell down from 
 a low place","1sg
 2sg
 3sg","ndlyonL
 ndlyuLH
 ndlyuH","ndlyonMH
 ndlyuLH
 ndlyuMH","ndlyonMS
 ndlyuLH
 ndlyuMS","tlyonMS
 tlyuLH
 tlyuMS",⟨h‑lh‑l⟩,⟨mh‑lh‑mh⟩,⟨ms‑lh‑ms⟩
[08],kwanH,blessed him,"1sg
 2sg
 3sg","kwanL
 kwanLH
 kwanH","ntkwanMH
 ntkwanLH
 ntkwanMH/H","ntkwanL
 ntkwanLH
 ntkwanL","kwanL
 kwanLH
 kwanL",⟨h‑lh‑l⟩,⟨mh/h‑lh‑mh⟩,⟨l‑lh‑l⟩
[09],ntiH,softened up,"1sg
 2sg
 3sg","ntenL
 ntiLH
 ntiH","ntenMH
 ntiLH
 ntiMH/H","ntenL
 ntiLH
 ntiMS","ktenL
 ktiLH
 ktiMS",⟨h‑lh‑l⟩,⟨mh/h‑lh‑mh⟩,⟨ms‑lh‑l⟩
[10],ntyjyuqH,got stuck in mud,"1sg
 2sg
 3sg","ntyjyonqL
 ntyjyuqLH
 ntyjyuqH","ntyjyonqMH/H
 ntyjyuqLH
 ntyjyuqH/MH","ntyjyonqL
 ntyjyuqLH
 ntyjyuqMS","kjyonqL
 kjyuqLH
 kjyuqMS",⟨h‑lh‑l⟩,⟨mh/h‑lh‑mh/h⟩,⟨ms‑lh‑l⟩
[11],xtiH,smoothed out,"1sg
 2sg
 3sg","xtenL/MS
 xtiLH
 xtiH","nxtenMH
 nxtiLH
 nxtiH","nxtenL
 nxtiLH
 nxtiMS","xtenL
 xtiLH
 xtiMS",⟨h‑lh‑l/ms⟩,⟨h‑lh‑mh⟩,⟨ms‑lh‑l⟩
